Name	Rearrangement	Support
CAP287_ENV_C2C3_W13_QVOA	CAP287-216WPI*16	0.05827199534675667
CAP287_ENV_C2C3_W13_QVOA	CAP287-216WPI*25	0.05827200155484504
CAP287_ENV_C2C3_W13_QVOA	CAP287-216WPI*19	0.05827199766658828
CAP287_ENV_C2C3_W13_QVOA	CAP287-216WPI*23	0.05827199463403861
CAP287_ENV_C2C3_W13_QVOA	CAP287-216WPI*14	0.05827200127013937
CAP287_ENV_C2C3_W13_QVOA	CAP287-216WPI*15	0.05827199646665891
CAP287_ENV_C2C3_W13_QVOA	CAP287-216WPI*17	0.058271994458562
CAP287_ENV_C2C3_W13_QVOA	CAP287-216WPI*13	0.05827199670186436
CAP287_ENV_C2C3_W13_QVOA	CAP287-216WPI*24	0.05827199462847382
CAP287_ENV_C2C3_W13_QVOA	CAP287-216WPI	0.4661759612687494
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI*5	0.7100556159727581
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI*18	0.01203382978438025
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI*11	0.01203383091584385
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI*24	0.01203383091584385
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI*20	0.01203383115205248
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI*15	0.01203383001795119
CAP287_ENV_C2C3_W25_QVOA	CAP287-152WPI*15	0.01208522886892121
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI*7	0.01203383176248251
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI*6	0.01190976341459562
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI*14	0.01191054623044093
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI*21	0.01203383087781099
CAP287_ENV_C2C3_W25_QVOA	CAP287	0.06063661977371888
CAP287_ENV_C2C3_W25_QVOA	CAP287-137WPI	0.1084608071089614
CAP287_ENV_C2C3_W41_QVOA	CAP287-229WPI*42	0.1110802222645478
CAP287_ENV_C2C3_W41_QVOA	CAP287-229WPI*41	0.1110802231945002
CAP287_ENV_C2C3_W41_QVOA	CAP287-255WPI*20	0.1110802232401644
CAP287_ENV_C2C3_W41_QVOA	CAP287-216WPI*59	0.1110802201773326
CAP287_ENV_C2C3_W41_QVOA	CAP287-229WPI*39	0.1110802235022281
CAP287_ENV_C2C3_W41_QVOA	CAP287	0.4444591594292393
CAP287_ENV_C2C3_W44_QVOA	CAP287-028WPI*28	0.9993144741860207
CAP287_ENV_C2C3_W55_QVOA	CAP287-255WPI*3	0.3333330470522758
CAP287_ENV_C2C3_W55_QVOA	CAP287-255WPI*4	0.6666660177840706
CAP287_ENV_C2C3_W7_QVOA	CAP287-255WPI*12	0.1994647491495476
CAP287_ENV_C2C3_W7_QVOA	CAP287-255WPI*13	0.1994647637350836
CAP287_ENV_C2C3_W7_QVOA	CAP287-255WPI*14	0.5983942569027552
