Name	Rearrangement	Support
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-022wpi*10	0.06647521883018821
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-022wpi*17	0.03323761319223133
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-051wpi*16	0.03323761173245204
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-126wpi*220	0.03323761143641521
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-073wpi*16	0.03329915565078706
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-126wpi*226	0.03323761051390366
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-022wpi*14	0.03323760943634539
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-073wpi*12	0.03323761491337437
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-126wpi*215	0.03323761318062322
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-138wpi*183	0.03323761307424585
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-073wpi*15	0.03323761024906362
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-126wpi*213	0.03323761280429701
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-126wpi*214	0.03323760980859059
336_B_W39_v1v2_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA_QVOA	CAP336-022wpi*16	0.03328202334143304
