Name	Rearrangement	Support
CAP286_ENV_C2C3_W12_QVOA	CAP286-066WPI*21	0.994476168615594
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-201WPI*20	0.04753549334270509
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-225WPI*11	0.04758476104045031
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-175WPI*22	0.04759760354390694
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-225WPI*19	0.04759760669712602
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-147WPI*49	0.04753548778800722
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-175WPI*17	0.04753550350313208
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-201WPI*22	0.04753548802215864
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-175WPI*21	0.04753549162392287
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-201WPI*25	0.047535490343872
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-225WPI*1	0.04753550515295765
CAP286_ENV_C2C3_B_W10_QVOA	CAP286	0.475520867073572
CAP286_ENV_C2C3_B_W10_QVOA	CAP286-201WPI	0.04758509737961193
CAP286_ENV_C2C3_W8_QVOA	CAP286-093WPI*58	0.05429321380362771
CAP286_ENV_C2C3_W8_QVOA	CAP286-093WPI*142	0.3351010661604095
CAP286_ENV_C2C3_W8_QVOA	CAP286-093WPI*43	0.2087038275722876
CAP286_ENV_C2C3_W8_QVOA	CAP286-093WPI*54	0.05477213114795841
CAP286_ENV_C2C3_W8_QVOA	CAP286-093WPI*57	0.05429321325438077
CAP286_ENV_C2C3_W8_QVOA	CAP286-093WPI	0.2820367662883956
CAP286_ENV_C2C3_B_W8_QVOA	CAP286-118WPI*75	0.1247286642052258
CAP286_ENV_C2C3_B_W8_QVOA	CAP286-175WPI*23	0.1247286642144145
CAP286_ENV_C2C3_B_W8_QVOA	CAP286-118WPI*74	0.1247286652340137
CAP286_ENV_C2C3_B_W8_QVOA	CAP286-118WPI*68	0.1247286646307395
CAP286_ENV_C2C3_B_W8_QVOA	CAP286-118WPI*24	0.1248909910594853
CAP286_ENV_C2C3_B_W8_QVOA	CAP286-118WPI	0.3746734162361798
